frame,time_s,temperature_C,austenite_fraction,length_env_true_px,length_axis_true_px,length_axis_alt_true_px,diameter_true_px,diameter_max_feret_true_px,area_proj_true_px2,area_proj_true_norm,area_proj_model_true_px2,area_proj_raster_true_px2,area_proj_contour_true_px2
72,3.6,33.1203,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
73,3.65,33.2331,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
74,3.7,33.3459,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
75,3.75,33.4586,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
76,3.8,33.5714,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
77,3.85,33.6842,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
78,3.9,33.797,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
79,3.95,33.9098,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
80,4.0,34.0226,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
81,4.05,34.1353,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
82,4.1,34.2481,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
83,4.15,34.3609,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
84,4.2,34.4737,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
85,4.25,34.5865,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
86,4.3,34.6992,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
87,4.35,34.812,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
88,4.4,34.9248,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
89,4.45,35.0376,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
90,4.5,35.1504,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
91,4.55,35.2632,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
92,4.6,35.3759,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
93,4.65,35.4887,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
94,4.7,35.6015,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
95,4.75,35.7143,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
96,4.8,35.8271,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
97,4.85,35.9398,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
98,4.9,36.0526,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
99,4.95,36.1654,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
100,5.0,36.2782,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
101,5.05,36.391,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
102,5.1,36.5038,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
103,5.15,36.6165,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
104,5.2,36.7293,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
105,5.25,36.8421,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
106,5.3,36.9549,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
107,5.35,37.0677,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
108,5.4,37.1805,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
109,5.45,37.2932,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
110,5.5,37.406,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
111,5.55,37.5188,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
112,5.6,37.6316,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
113,5.65,37.7444,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
114,5.7,37.8571,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
